Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
COSC-442-933,14,11,0,0,0,25,3.560,0,0,0,0,0,25,PALMER R
COSC-443-500,8,14,1,0,0,23,3.304,0,0,0,0,0,23,WHITMAN J
COSC-450-500,2,10,17,3,0,32,2.343,0,0,0,0,0,32,LAVY S
COSC-459-500,17,17,2,0,0,36,3.416,0,0,0,0,0,36,WHITMAN J
COSC-461-500,16,11,2,0,0,29,3.482,0,0,0,0,0,29,HAM Y
COSC-461-501,23,6,0,0,0,29,3.793,0,0,0,1,0,30,SAKIB M
COSC-463-901,5,10,8,0,0,23,2.869,0,0,0,1,0,24,MCCLOSKEY A
COSC-463-902,7,16,2,0,0,25,3.200,0,0,0,0,0,25,MCCLOSKEY A
COSC-463-903,5,14,5,0,1,25,2.880,0,0,0,0,0,25,DAIGNEAULT M
COSC-463-904,10,11,2,1,0,24,3.250,0,0,0,0,0,24,DAIGNEAULT M
COSC-463-905,3,18,2,0,0,23,3.043,0,0,0,0,0,23,ELLIS D
COSC-463-906,7,11,6,0,0,24,3.041,0,0,0,0,0,24,MCCLOSKEY A
COSC-463-907,3,12,8,0,0,23,2.782,0,0,0,1,0,24,RODGERS W
COSC-464-500,27,9,0,0,0,36,3.750,0,0,0,0,0,36,MCGOWAN A
COSC-464-501,3,25,7,1,0,36,2.833,0,0,0,0,0,36,NNAJI C
COSC-465-501,51,49,6,0,0,106,3.424,0,0,0,0,0,106,COKINOS G
COSC-475-501,5,16,10,1,1,33,2.696,0,0,0,0,0,33,COOKE G
COSC-475-502,13,25,6,0,0,44,3.159,0,0,0,0,0,44,COOKE G
COSC-475-503,13,16,7,0,0,36,3.166,0,0,0,0,0,36,COOKE G
COSC-475-504,17,29,14,0,0,60,3.050,0,0,0,0,0,60,COOKE G
COSC-477-501,5,32,21,0,1,59,2.677,0,0,0,0,0,59,FICKEL L
COSC-477-502,7,23,18,0,4,52,2.557,0,0,0,0,0,52,FICKEL L
COSC-489-501,3,12,0,0,0,15,3.200,0,0,0,0,0,15,ANDREWS W
COSC-494-950,154,18,0,0,0,172,3.895,0,0,0,0,0,172,GUERRA SANTOS H
COSC-601-600,44,0,0,0,0,44,4.000,0,0,0,0,0,44,HARTELL J
COSC-602-600,10,14,3,0,0,27,3.259,0,0,0,1,0,28,RYOO B
