Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
------------ ----- ----- ----- -----,-----,-----,,----- -----,,-----,-----,-----,-----,----- ------,-----,---,---,---,------
PHAM L 8.33%,8.33% 33.33% 20.83% 12.50% 16.67%,,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
8.33%,8.33% 33.33% 20.83% 12.50% 16.67%,,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7339-601   2,3,5   4,,4,2,4,,0,1,0,0,0,0,25,3.200,0,0,0,25
ECKSTEIN G 8.00% 12.00% 20.00% 16.00% 16.00%,,,,,8.00% 16.00%,,,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :2,3,5 4,,4,2,4,,0,1,0,0,0,0,25,3.200,0,0,0,25
8.00% 12.00% 20.00% 16.00% 16.00%,,,,,8.00% 16.00%,,,0.00%,4.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7350-601   0,6,7,11,11,7,,1,1,1,0,0,0,0,45,3.200,0,0,0,45
HOLLAND H 0.00% 13.33% 15.56% 24.44% 24.44% 15.56%,,,,,,,2.22%,2.22%,2.22%,0.00%,0.00%,0.00%,0.00%,,,,,,
COURSE TOTAL :0,6,7,11,11,7,,1,1,1,0,0,0,0,45,3.200,0,0,0,45
0.00% 13.33% 15.56% 24.44% 24.44% 15.56%,,,,,,,2.22%,2.22%,2.22%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7401-601   0,6,6,7,3,8,,3,1,0,0,0,0,0,34,3.196,0,0,0,34
MULVANEY T 0.00% 17.65% 17.65% 20.59%,,,,8.82% 23.53%,,,8.82%,2.94%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00% 17.65% 17.65% 20.59%,,,,8.82% 23.53%,,,8.82%,2.94%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7412-601   0,0,0,14,12,0,,0,0,0,0,0,0,0,26,3.177,0,0,0,26
ZADEH J 0.00%,0.00%,0.00% 53.85% 46.15%,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
0.00%,0.00%,0.00% 53.85% 46.15%,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7418-601   3,6,8,19,12,8,,4,5,2,0,0,0,0,67,3.114,0,0,0,67
WALTERS D 4.48%,8.96% 11.94% 28.36% 17.91% 11.94%,,,,,,5.97%,7.46%,2.99%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7418-602   0,4,14,10,19,12,,1,0,0,0,0,0,0,60,3.200,0,0,0,60
PHILLIPS S 0.00%,6.67% 23.33% 16.67% 31.67% 20.00%,,,,,,1.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
2.36%,7.87% 17.32% 22.83% 24.41% 15.75%,,,,,,3.94%,3.94%,1.57%,0.00%,0.00%,0.00%,0.00%,,,,,,
LAW-7428-601   3,1,5,5,8,6,,3,0,0,0,0,0,0,31,3.162,0,0,0,31
