Section,A,B,C,D,F,Total A-F,GPA,I,S,U,Q,X,Total,Instructor
GEOG-330-500,41,29,17,8,3,98,2.989,0,0,0,3,0,101,CASELLAS CONNORS J
GEOG-335-500,9,21,19,5,0,54,2.629,0,0,0,0,0,54,DWIGHT R
GEOG-352-500,9,6,0,1,2,18,3.055,0,0,0,1,0,19,LYLE S
GEOG-352-501,7,8,0,3,0,18,3.055,0,0,0,1,0,19,LYLE S
GEOG-352-503,5,4,1,1,1,12,2.916,0,0,0,1,0,13,LYLE S
GEOG-361-500,9,6,4,0,1,20,3.100,0,0,0,0,0,20,ALLEN G
GEOG-361-501,3,5,5,3,0,16,2.500,0,0,0,2,0,18,ALLEN G
GEOG-361-502,7,8,3,0,1,19,3.052,0,0,0,0,0,19,ALLEN G
GEOG-361-503,4,12,1,1,1,19,2.894,0,0,0,0,0,19,ALLEN G
GEOG-361-504,7,5,3,1,0,16,3.125,0,0,0,0,0,16,ALLEN G
GEOG-361-505,5,11,1,2,0,19,3.000,0,0,0,0,0,19,ALLEN G
GEOG-380-900,11,9,0,0,0,20,3.550,0,0,0,0,0,20,GUNERALP I
GEOG-380-901,17,2,1,1,0,21,3.666,0,0,0,0,0,21,GUNERALP B
GEOG-390-501,8,8,2,1,0,19,3.210,0,0,0,0,0,19,THOMPSON C
GEOG-390-502,8,7,1,1,1,18,3.111,0,0,0,1,0,19,THOMPSON C
GEOG-390-503,9,5,2,3,0,19,3.052,0,0,0,0,0,19,THOMPSON C
GEOG-390-504,7,7,1,0,0,15,3.400,0,0,0,2,0,17,THOMPSON C
GEOG-390-505,10,4,1,0,3,18,3.000,0,0,0,0,0,18,THOMPSON C
GEOG-390-506,8,5,3,0,1,17,3.117,0,0,0,1,0,18,THOMPSON C
GEOG-390-507,10,4,3,1,1,19,3.105,0,0,0,0,0,19,THOMPSON C
GEOG-391-500,14,2,0,0,0,16,3.875,0,0,0,1,0,17,LYLE S
GEOG-391-501,4,2,2,2,0,10,2.800,1,0,0,1,0,12,LYLE S
GEOG-391-502,12,4,1,0,0,17,3.647,0,0,0,1,0,18,LYLE S
GEOG-392-500,8,3,0,1,0,12,3.500,0,0,0,1,6,19,ZOU L
GEOG-392-501,9,0,0,1,0,10,3.700,0,0,0,0,3,13,ZOU L
GEOG-392-502,8,5,1,0,0,14,3.500,0,0,0,1,3,18,ZOU L
GEOG-401-500,10,11,5,2,1,29,2.931,0,0,0,1,0,30,PROUT E
GEOG-430-900,8,6,0,0,1,15,3.333,3,0,0,1,0,19,JEPSON W
GEOG-434-501,3,7,1,0,2,13,2.692,0,0,0,1,0,14,BOMBARDI R
GEOG-434-502,4,7,2,0,0,13,3.153,0,0,0,0,0,13,BOMBARDI R
GEOG-442-500,11,2,1,0,1,15,3.466,0,0,0,2,5,22,LOISEL J
GEOG-450-500,5,3,2,1,2,13,2.615,0,0,0,2,0,15,LAFON C
GEOG-476-900,1,3,6,2,2,14,1.928,0,0,0,2,0,16,BISHOP M
GEOG-484-501,8,2,0,0,0,10,0.000,0,0,0,0,0,10,WELLMAN K
GEOG-610-600,10,0,0,0,0,10,4.000,0,0,0,0,1,11,CAIRNS D
GEOG-619-600,4,1,0,0,0,5,3.800,2,0,0,0,0,7,BRANNSTROM C
GEOG-651-775,6,4,0,0,3,13,2.769,0,0,0,0,0,13,FILIPPI A
GEOG-652-600,24,0,0,0,0,24,4.000,0,0,0,0,0,24,CAIRNS D
GEOG-659-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,LYLE S
GEOG-659-775,24,1,0,0,2,27,3.666,0,0,0,0,0,27,GOLDBERG D
GEOG-660-600,11,1,0,0,0,12,3.916,0,0,0,0,0,12,THOMPSON C
GEOG-660-701,4,2,0,0,0,6,3.666,0,0,0,0,0,6,ZHANG Z
GEOG-660-775,14,5,1,0,1,21,3.476,0,0,0,0,0,21,ZHANG Z
GEOG-662-775,10,0,1,0,0,11,3.818,0,0,0,0,0,11,LYLE S
GEOG-663-775,19,2,0,0,0,21,3.904,0,0,0,0,0,21,LYLE S
GEOG-665-701,5,0,0,0,0,5,4.000,1,0,0,2,0,8,FILIPPI A
GEOG-665-775,7,4,0,0,0,11,3.636,0,0,0,1,0,12,FILIPPI A
GEOG-676-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,ZOU L
GEOG-678-775,7,1,0,0,0,8,3.875,0,0,0,0,0,8,ZHANG Z
DEPARTMENT TOTAL:,2163,1186,611,164,101,4225,3.207,20,0,0,149,21,4415,
GEOL-101-501,58,41,0,0,0,99,3.585,0,0,0,1,0,100,YANCEY T
GEOL-101-502,71,53,32,4,3,163,3.134,0,0,0,6,0,169,MARCANTONIO F
GEOL-101-503,26,24,13,6,0,69,3.014,0,0,0,6,0,75,DUAN B
GEOL-101-599,23,28,26,6,3,86,2.720,0,0,0,3,0,89,TORREZ B
GEOL-102-501,7,4,4,0,0,15,3.200,0,0,0,0,0,15,SPARKS D
GEOL-102-502,6,9,3,0,0,18,3.166,0,0,0,1,0,19,SPARKS D
GEOL-102-503,10,6,2,0,0,18,3.444,0,0,0,1,0,19,SPARKS D
GEOL-102-505,7,12,2,0,0,21,3.238,0,0,0,1,0,22,SPARKS D
GEOL-102-506,9,7,5,0,0,21,3.190,0,0,0,0,0,21,SPARKS D
GEOL-102-507,2,9,1,0,0,12,3.083,0,0,0,0,0,12,SPARKS D
GEOL-102-508,8,8,2,0,1,19,3.157,0,0,0,1,0,20,SPARKS D
GEOL-102-509,9,11,1,0,0,21,3.380,0,0,0,0,0,21,SPARKS D
GEOL-102-510,7,12,2,0,0,21,3.238,0,0,0,0,0,21,SPARKS D
GEOL-102-513,7,10,2,0,0,19,3.263,0,0,0,1,0,20,SPARKS D
GEOL-102-514,4,14,2,0,1,21,2.952,0,0,0,0,0,21,SPARKS D
GEOL-104-501,7,7,4,1,0,19,3.052,0,0,0,0,0,19,CHESTER F
GEOL-104-502,4,9,6,0,0,19,2.894,1,0,0,0,0,20,CHESTER F
GEOL-104-503,4,6,3,0,1,14,2.857,0,0,0,0,0,14,CHESTER F
GEOL-104-504,2,11,3,3,0,19,2.631,0,0,0,0,0,19,CHESTER F
GEOL-104-506,1,3,4,1,0,9,2.444,0,0,0,1,0,10,CHESTER F
GEOL-104-508,4,10,3,2,0,19,2.842,0,0,0,1,0,20,CHESTER F
GEOL-150-500,4,7,6,1,0,18,2.777,0,0,0,1,0,19,NEWMAN J
GEOL-150-501,7,4,1,2,0,14,3.142,0,0,0,0,0,14,NEWMAN J
GEOL-180-501,25,7,1,0,0,33,3.727,0,0,0,0,0,33,SPARKS D
GEOL-180-502,20,5,0,1,0,26,3.692,0,0,0,0,0,26,SPARKS D
GEOL-203-501,6,5,5,0,1,17,2.882,1,0,0,0,0,18,BALTA J
GEOL-203-502,9,3,5,2,0,19,3.000,0,0,0,2,0,21,BALTA J
GEOL-203-503,8,4,2,3,1,18,2.833,0,0,0,3,0,21,BALTA J
GEOL-203-504,2,5,4,2,2,15,2.200,0,0,0,1,0,16,BALTA J
GEOL-207-500,13,3,0,0,0,16,3.812,0,0,0,3,0,19,RAYMOND A
GEOL-207-501,15,3,0,0,1,19,3.631,0,0,0,1,0,20,RAYMOND A
GEOL-210-900,20,4,2,0,0,26,3.692,0,0,0,1,0,27,SPARKS D
GEOL-210-901,20,2,2,1,1,26,3.500,0,0,0,1,0,27,SPARKS D
GEOL-304-501,6,7,7,2,0,22,2.772,0,0,0,0,0,22,LAMB W
GEOL-304-502,5,4,7,1,0,17,2.764,0,0,0,0,0,17,BALTA J
GEOL-306-501,4,17,1,0,1,23,3.000,0,0,0,0,0,23,REECE J
GEOL-306-502,6,9,4,2,0,21,2.904,0,0,0,0,0,21,REECE J
GEOL-306-503,7,13,0,0,0,20,3.350,0,0,0,0,0,20,REECE J
GEOL-310-501,23,16,4,1,0,44,3.386,0,0,0,0,0,44,SPARKS D
GEOL-311-900,9,1,0,0,0,10,3.900,0,0,0,0,0,10,SPARKS D
GEOL-311-901,19,4,2,0,0,25,3.680,0,0,0,0,0,25,KITAJIMA H
GEOL-312-501,7,4,2,2,0,15,3.066,0,0,0,4,0,19,CHESTER J
GEOL-312-502,1,2,3,1,0,7,2.428,0,0,0,2,0,9,CHESTER J
GEOL-320-503,5,4,0,0,0,9,3.555,0,0,0,0,0,9,GIARDINO J
GEOL-330-509,14,0,0,0,0,14,4.000,0,0,0,0,0,14,POPE M
GEOL-404-501,12,6,4,0,0,22,3.363,0,0,0,0,0,22,LAYA PEREIRA J
GEOL-404-502,9,7,2,0,0,18,3.388,0,0,0,0,0,18,LAYA PEREIRA J
GEOL-404-503,10,7,2,0,1,20,3.250,0,0,0,0,0,20,LAYA PEREIRA J
GEOL-404-504,13,7,2,0,0,22,3.500,0,0,0,0,0,22,LAYA PEREIRA J
GEOL-404-505,10,11,1,0,0,22,3.409,0,0,0,0,0,22,LAYA PEREIRA J
GEOL-404-506,6,8,3,0,0,17,3.176,0,0,0,0,0,17,LAYA PEREIRA J
GEOL-410-501,5,6,6,4,3,24,2.250,0,0,0,0,0,24,KNAPPETT P
GEOL-410-502,4,5,4,2,2,17,2.411,0,0,0,2,0,19,KNAPPETT P
GEOL-420-901,8,6,0,0,0,14,3.571,0,0,0,0,0,14,KNAPPETT P
GEOL-420-902,6,6,2,0,0,14,3.285,0,0,0,1,0,15,KNAPPETT P
GEOL-420-903,8,5,2,0,0,15,3.400,0,0,0,0,0,15,KNAPPETT P
GEOL-420-904,8,5,0,0,0,13,3.615,0,0,0,0,0,13,KNAPPETT P
GEOL-420-905,4,9,0,0,0,13,3.307,0,0,0,1,0,14,KNAPPETT P
GEOL-420-906,10,5,0,0,0,15,3.666,0,0,0,0,0,15,KNAPPETT P
GEOL-450-913,7,2,0,0,0,9,3.777,2,0,0,0,0,11,MILLER B
GEOL-450-916,1,3,3,1,1,9,2.222,0,0,0,0,0,9,LAMB W
GEOL-489-500,1,5,0,0,0,6,3.166,0,0,0,0,0,6,BECKER M
GEOL-489-502,4,5,0,0,0,9,3.444,0,0,0,0,0,9,BELANGER C
GEOL-491-514,6,0,0,0,0,6,4.000,0,0,0,0,0,6,PEREZ N
GEOL-491-531,20,0,0,0,0,20,4.000,0,0,0,0,0,20,BALTA J
GEOL-614-600,5,2,1,0,0,8,3.500,0,0,0,0,0,8,KNAPPETT P
GEOL-617-775,18,1,1,0,0,20,3.850,0,0,0,0,0,20,RIGGS E
GEOL-622-600,8,0,0,0,0,8,4.000,1,0,0,0,0,9,DONOVAN A
GEOL-624-600,7,1,0,0,0,8,3.875,0,0,0,0,0,8,MARKELLO J
GEOL-625-600,9,1,0,0,0,10,3.900,0,0,0,0,0,10,ZHAN H
GEOL-633-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,GIARDINO J
GEOL-645-600,4,1,0,0,0,5,3.800,0,0,0,0,0,5,MILLER B
GEOL-648-600,4,4,0,0,0,8,3.500,1,0,0,0,0,9,GROSSMAN E
GEOL-651-600,10,4,1,0,0,15,3.600,0,0,0,0,0,15,BELANGER C
GEOL-685-630,4,2,0,0,0,6,3.666,0,0,0,0,0,6,SUN Y
GEOP-341-501,6,7,1,1,1,16,3.000,0,0,0,0,0,16,FULTON P
GEOP-341-502,7,4,4,0,0,15,3.200,0,0,0,1,0,16,FULTON P
GEOP-341-503,7,3,4,1,0,15,3.066,0,0,0,0,0,15,FULTON P
GEOP-341-504,7,7,2,1,0,17,3.176,0,0,0,0,0,17,FULTON P
GEOP-413-500,7,1,2,0,0,10,3.500,0,0,0,0,0,10,EVERETT M
GEOP-421-501,3,4,4,1,0,12,2.750,0,0,0,1,0,13,GIBSON R
GEOP-421-503,5,8,1,0,0,14,3.285,0,0,0,0,0,14,GIBSON R
GEOP-491-501,5,0,0,0,0,5,4.000,0,0,0,0,0,5,REECE R
GEOP-491-525,9,0,0,0,0,9,4.000,0,0,0,0,0,9,EVERETT M
GEOP-615-600,5,3,0,0,0,8,3.625,0,0,0,0,0,8,CHESTER F
GEOP-628-600,9,0,0,0,0,9,4.000,0,0,0,0,0,9,PEREZ N
GEOP-629-601,5,0,0,0,0,5,4.000,0,0,0,0,0,5,REECE R
GEOP-689-600,7,0,0,0,0,7,4.000,0,0,0,0,0,7,DUAN B
GEOP-689-775,4,2,0,0,0,6,3.666,0,0,0,0,0,6,BENAVIDES IGLESIAS
DEPARTMENT TOTAL:,847,590,230,55,24,1746,3.192,6,0,0,48,0,1800,
OCNG-203-901,7,0,0,0,1,8,3.500,0,0,0,0,0,8,YVON-LEWIS S
OCNG-251-501,2,5,8,1,0,16,2.500,0,0,0,4,0,20,CHAPMAN P
OCNG-251-502,8,4,4,1,0,17,3.117,0,0,0,8,0,25,PETRIK C
OCNG-251-503,9,9,5,2,1,26,2.884,0,0,0,2,0,28,ZHANG Y
OCNG-251-504,8,6,5,0,0,19,3.157,0,0,0,1,0,20,PETRIK C
OCNG-251-506,12,31,7,6,0,56,2.875,0,0,0,6,0,62,GARDNER W
OCNG-251-507,7,14,9,0,1,31,2.838,0,0,0,4,0,35,RICHARDSON M
OCNG-251-508,42,42,9,0,1,94,3.319,0,0,0,1,0,95,GIESE B
OCNG-251-510,26,31,24,4,1,86,2.895,0,0,0,8,0,94,GARDNER W
OCNG-251-512,12,8,5,0,0,25,3.280,0,0,0,0,0,25,WIEDERWOHL C
OCNG-251-598,78,106,77,17,4,282,2.840,5,0,0,10,0,297,SYLVAN J
OCNG-252-501,6,2,0,0,0,8,3.750,0,0,0,0,0,8,WIEDERWOHL C
OCNG-252-502,10,0,0,0,0,10,4.000,0,0,0,0,0,10,WIEDERWOHL C
OCNG-252-503,9,0,2,0,1,12,3.333,0,0,0,0,0,12,WIEDERWOHL C
OCNG-252-505,11,6,0,0,0,17,3.647,0,0,0,0,0,17,WIEDERWOHL C
OCNG-252-506,15,1,0,0,0,16,3.937,0,0,0,0,0,16,WIEDERWOHL C
OCNG-252-508,6,4,1,0,0,11,3.454,0,0,0,0,0,11,WIEDERWOHL C
OCNG-252-509,4,8,0,0,1,13,3.076,0,0,0,0,0,13,WIEDERWOHL C
OCNG-252-512,7,1,1,0,0,9,3.666,0,0,0,0,0,9,WIEDERWOHL C
OCNG-252-514,10,6,1,0,0,17,3.529,0,0,0,0,0,17,WIEDERWOHL C
OCNG-252-598,42,19,7,2,3,73,3.301,0,0,0,6,0,79,WIEDERWOHL C
OCNG-350-500,41,6,1,1,1,50,3.700,0,0,0,0,0,50,YVON-LEWIS S
OCNG-404-500,5,1,4,1,0,11,2.909,0,0,0,0,0,11,DIMARCO S
OCNG-410-500,19,7,5,1,0,32,3.375,0,0,0,1,0,33,STOESSEL A
OCNG-420-500,4,11,1,0,0,16,3.187,0,0,0,0,0,16,CAMPBELL L
OCNG-420-501,3,7,3,1,0,14,2.857,0,0,0,0,0,14,CAMPBELL L
OCNG-420-502,1,10,0,0,1,12,2.833,0,0,0,0,0,12,CAMPBELL L
OCNG-425-500,4,5,0,0,0,9,3.444,0,0,0,0,0,9,THORNTON D
OCNG-469-500,4,0,1,0,1,6,3.000,0,0,0,0,1,7,HETLAND R
OCNG-481-900,4,1,0,0,0,5,3.800,0,0,0,0,0,5,RICHARDSON M
OCNG-604-600,9,0,0,0,0,9,4.000,0,0,0,0,1,10,DIMARCO S
OCNG-608-600,8,6,3,0,1,18,3.111,0,0,0,0,0,18,ORSI A
OCNG-608-601,1,4,2,0,0,7,2.857,0,0,0,0,0,7,ANIS A
OCNG-618-600,3,3,0,1,0,7,3.142,0,0,0,0,0,7,CHANG P
OCNG-640-600,13,5,2,0,0,20,3.550,0,0,0,0,0,20,FITZSIMMONS J
OCNG-640-650,3,3,0,0,0,6,3.500,1,0,0,0,0,7,FITZSIMMONS J
OCNG-655-600,4,3,0,0,0,7,3.571,0,0,0,1,0,8,POTTER H
OCNG-656-600,8,1,0,0,1,10,3.500,1,0,0,0,0,11,WIEDERWOHL C
OCNG-669-600,7,0,0,0,0,7,4.000,0,1,0,1,1,10,HETLAND R
OCNG-673-600,5,0,0,0,0,5,4.000,0,0,0,0,0,5,SLOWEY N
DEPARTMENT TOTAL:,477,376,187,38,19,1097,3.095,7,1,0,53,3,1161
COLLEGE TOTAL:,4299,2714,1193,288,162,8656,3.204,37,1,0,279,26,8999
